model id,name,ch,n runs,acc a mean,acc a std,f1 a mean,f1 a std,acc b mean,acc b std,f1 b mean,f1 b std,mean best val f1,mean elapsed
DANCE Teacher,DANCE Teacher,62ch,45.0,0.4193,0.0934,0.4077,0.0943,0.519,0.0914,0.5026,0.0973,0.5866,2009.9
DANCE Student,DANCE Student,6ch,45.0,0.3901,0.074,0.3775,0.0745,0.5706,0.0873,0.5412,0.1009,0.7102,264.0
