model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M22,62ch,1,1,1,0.3641,0.3589,0.5388,0.5239,0.5585,234.2
M22,62ch,1,2,2,0.4998,0.4962,0.6873,0.6768,0.56,231.1
M22,62ch,1,3,3,0.2954,0.2939,0.4588,0.4422,0.5821,229.5
M22,62ch,1,4,4,0.4068,0.3977,0.6012,0.5934,0.5468,230.7
M22,62ch,1,5,5,0.2962,0.2284,0.3775,0.3173,0.5725,231.3
M22,62ch,1,6,6,0.3341,0.3361,0.5493,0.5555,0.5678,234.0
M22,62ch,1,7,7,0.6451,0.6382,0.6869,0.688,0.5328,233.1
M22,62ch,1,8,8,0.5202,0.5131,0.6237,0.6097,0.5629,232.0
M22,62ch,1,9,9,0.4271,0.4197,0.5972,0.5909,0.5563,232.4
M22,62ch,1,10,10,0.4679,0.4733,0.5887,0.5731,0.5643,234.5
M22,62ch,1,11,11,0.2882,0.2895,0.4781,0.4711,0.5826,234.8
M22,62ch,1,12,12,0.2663,0.2629,0.4245,0.3921,0.5616,233.5
M22,62ch,1,13,13,0.4355,0.4369,0.5292,0.5206,0.566,235.2
M22,62ch,1,14,14,0.5365,0.5332,0.6821,0.6744,0.5638,234.2
M22,62ch,1,15,15,0.485,0.4661,0.6777,0.6643,0.5346,233.3
M22,62ch,7,1,1,0.4375,0.4381,0.668,0.6502,0.5667,233.2
M22,62ch,7,2,2,0.4998,0.5038,0.8016,0.7875,0.5806,233.8
M22,62ch,7,3,3,0.2878,0.2257,0.6028,0.531,0.5593,225.4
M22,62ch,7,4,4,0.4926,0.4824,0.668,0.6467,0.5813,230.5
M22,62ch,7,5,5,0.3337,0.2605,0.534,0.4689,0.604,231.3
M22,62ch,7,6,6,0.3956,0.3934,0.5799,0.5822,0.5759,231.4
M22,62ch,7,7,7,0.6275,0.6297,0.6696,0.6607,0.5557,231.1
M22,62ch,7,8,8,0.5341,0.5331,0.5875,0.5656,0.5912,233.8
M22,62ch,7,9,9,0.3892,0.3882,0.6491,0.6224,0.5731,232.1
M22,62ch,7,10,10,0.5453,0.544,0.5726,0.5504,0.5717,232.8
M22,62ch,7,11,11,0.3034,0.3038,0.5734,0.5365,0.577,233.0
M22,62ch,7,12,12,0.4248,0.4234,0.592,0.5769,0.5684,232.7
M22,62ch,7,13,13,0.4216,0.4146,0.5722,0.5497,0.5568,231.0
M22,62ch,7,14,14,0.5281,0.5362,0.7932,0.7841,0.5366,230.5
M22,62ch,7,15,15,0.5042,0.4929,0.6483,0.5982,0.5458,230.0
M22,62ch,21,1,1,0.4,0.3951,0.5352,0.538,0.548,230.0
M22,62ch,21,2,2,0.4958,0.4976,0.6056,0.6039,0.5755,228.7
M22,62ch,21,3,3,0.3297,0.3133,0.5569,0.5459,0.6004,228.8
M22,62ch,21,4,4,0.4543,0.4492,0.6173,0.5985,0.5569,229.5
M22,62ch,21,5,5,0.3533,0.316,0.5179,0.5007,0.5292,223.1
M22,62ch,21,6,6,0.3425,0.3353,0.5135,0.5174,0.5996,230.2
M22,62ch,21,7,7,0.6283,0.6277,0.7686,0.7664,0.5737,230.0
M22,62ch,21,8,8,0.4499,0.429,0.6563,0.6473,0.5643,229.5
M22,62ch,21,9,9,0.3593,0.3448,0.7268,0.7251,0.5567,229.7
M22,62ch,21,10,10,0.4782,0.4923,0.7107,0.7183,0.5722,230.9
M22,62ch,21,11,11,0.2978,0.2987,0.5742,0.5786,0.566,229.6
M22,62ch,21,12,12,0.3685,0.3629,0.5686,0.5666,0.5661,228.3
M22,62ch,21,13,13,0.4152,0.4124,0.6298,0.6355,0.5608,228.8
M22,62ch,21,14,14,0.4822,0.4885,0.6777,0.6733,0.5644,227.5
M22,62ch,21,15,15,0.5373,0.5371,0.7292,0.7302,0.5521,228.7
