model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M15,6ch,1,1,1,0.4822,0.4921,0.4877,0.4953,1.0,38.6
M15,6ch,1,2,2,0.3569,0.3243,0.3573,0.3548,1.0,42.8
M15,6ch,1,3,3,0.3481,0.3348,0.3445,0.3386,1.0,41.0
M15,6ch,1,4,4,0.4842,0.452,0.4793,0.4576,1.0,41.2
M15,6ch,1,5,5,0.3365,0.2907,0.3606,0.3257,1.0,36.6
M15,6ch,1,6,6,0.2391,0.2363,0.2592,0.2556,1.0,34.3
M15,6ch,1,7,7,0.5273,0.5331,0.5602,0.5646,1.0,51.2
M15,6ch,1,8,8,0.3713,0.3446,0.3799,0.3829,1.0,49.7
M15,6ch,1,9,9,0.4727,0.4606,0.4431,0.4369,1.0,37.4
M15,6ch,1,10,10,0.3749,0.3741,0.3706,0.3641,1.0,30.5
M15,6ch,1,11,11,0.3409,0.3236,0.3227,0.312,1.0,36.3
M15,6ch,1,12,12,0.3126,0.2986,0.3485,0.3405,1.0,32.3
M15,6ch,1,13,13,0.3784,0.3709,0.3742,0.3633,1.0,51.9
M15,6ch,1,14,14,0.3725,0.374,0.4137,0.4177,1.0,31.2
M15,6ch,1,15,15,0.3693,0.3796,0.4241,0.4398,1.0,39.7
M15,6ch,7,1,1,0.5086,0.5007,0.5103,0.5001,1.0,30.3
M15,6ch,7,2,2,0.3477,0.326,0.3404,0.33,1.0,39.1
M15,6ch,7,3,3,0.3146,0.3082,0.2849,0.2765,1.0,33.4
M15,6ch,7,4,4,0.3908,0.3684,0.394,0.3817,1.0,32.9
M15,6ch,7,5,5,0.3122,0.2759,0.2841,0.2708,1.0,30.7
M15,6ch,7,6,6,0.1896,0.1688,0.1948,0.185,1.0,30.8
M15,6ch,7,7,7,0.4511,0.4674,0.4559,0.4588,1.0,33.7
M15,6ch,7,8,8,0.3617,0.354,0.3135,0.3146,1.0,37.0
M15,6ch,7,9,9,0.4683,0.4441,0.4366,0.4264,1.0,41.1
M15,6ch,7,10,10,0.4108,0.3963,0.4145,0.4008,1.0,31.2
M15,6ch,7,11,11,0.3637,0.3564,0.3276,0.3201,1.0,33.1
M15,6ch,7,12,12,0.3425,0.3342,0.3099,0.3077,1.0,32.9
M15,6ch,7,13,13,0.3908,0.3998,0.4048,0.4126,1.0,45.8
M15,6ch,7,14,14,0.408,0.4089,0.406,0.4033,1.0,31.6
M15,6ch,7,15,15,0.309,0.3254,0.3763,0.39,1.0,32.0
M15,6ch,21,1,1,0.3872,0.3785,0.4157,0.4078,1.0,31.3
M15,6ch,21,2,2,0.3154,0.2918,0.3195,0.3,1.0,43.5
M15,6ch,21,3,3,0.3222,0.3164,0.3163,0.3159,1.0,37.9
M15,6ch,21,4,4,0.4595,0.4504,0.4559,0.4504,1.0,44.1
M15,6ch,21,5,5,0.3222,0.3078,0.3219,0.2979,1.0,32.9
M15,6ch,21,6,6,0.2719,0.2666,0.2419,0.2371,1.0,41.6
M15,6ch,21,7,7,0.5162,0.5393,0.5513,0.5503,1.0,41.8
M15,6ch,21,8,8,0.3665,0.3298,0.3895,0.3645,1.0,30.1
M15,6ch,21,9,9,0.513,0.4918,0.5062,0.4841,1.0,39.4
M15,6ch,21,10,10,0.4092,0.3978,0.4125,0.4077,1.0,48.8
M15,6ch,21,11,11,0.2986,0.298,0.3167,0.3173,1.0,30.4
M15,6ch,21,12,12,0.3561,0.343,0.359,0.3496,1.0,30.1
M15,6ch,21,13,13,0.315,0.3248,0.3602,0.3508,1.0,42.2
M15,6ch,21,14,14,0.3892,0.3847,0.4097,0.4091,1.0,44.4
M15,6ch,21,15,15,0.311,0.3437,0.295,0.3078,1.0,30.1
