model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M24,62ch,1,1,1,0.3441,0.326,0.5131,0.4981,1.0,59.5
M24,62ch,1,2,2,0.2379,0.2226,0.5553,0.5479,1.0,82.8
M24,62ch,1,3,3,0.222,0.1502,0.3219,0.2683,1.0,70.9
M24,62ch,1,4,4,0.3142,0.2066,0.4809,0.4734,1.0,87.5
M24,62ch,1,5,5,0.3158,0.303,0.4402,0.3789,1.0,55.1
M24,62ch,1,6,6,0.2854,0.2393,0.5895,0.5856,0.9998,72.7
M24,62ch,1,7,7,0.5948,0.5196,0.7429,0.7301,1.0,87.3
M24,62ch,1,8,8,0.2299,0.1924,0.5541,0.5633,0.9998,71.8
M24,62ch,1,9,9,0.2994,0.2782,0.5066,0.5052,1.0,91.8
M24,62ch,1,10,10,0.2216,0.1852,0.5054,0.4995,1.0,92.5
M24,62ch,1,11,11,0.2052,0.1769,0.5614,0.5538,1.0,69.5
M24,62ch,1,12,12,0.2982,0.2686,0.565,0.5674,1.0,95.3
M24,62ch,1,13,13,0.2503,0.2407,0.5553,0.5401,1.0,79.3
M24,62ch,1,14,14,0.2076,0.1622,0.6543,0.652,1.0,91.0
M24,62ch,1,15,15,0.2994,0.2599,0.6125,0.6236,1.0,82.3
M24,62ch,7,1,1,0.3042,0.2001,0.5131,0.4735,1.0,78.5
M24,62ch,7,2,2,0.3449,0.3036,0.5686,0.573,1.0,76.5
M24,62ch,7,3,3,0.222,0.1502,0.4366,0.4115,1.0,89.3
M24,62ch,7,4,4,0.2671,0.2087,0.6592,0.6363,0.9998,82.8
M24,62ch,7,5,5,0.3034,0.2927,0.4857,0.4787,1.0,56.0
M24,62ch,7,6,6,0.3102,0.2668,0.5489,0.5423,1.0,66.6
M24,62ch,7,7,7,0.3677,0.2749,0.6012,0.589,1.0,69.7
M24,62ch,7,8,8,0.2567,0.235,0.4853,0.4276,1.0,64.7
M24,62ch,7,9,9,0.2032,0.1731,0.5441,0.5441,1.0,107.6
M24,62ch,7,10,10,0.275,0.187,0.4954,0.4516,1.0,63.7
M24,62ch,7,11,11,0.222,0.1904,0.5091,0.4732,0.9991,87.6
M24,62ch,7,12,12,0.2395,0.2019,0.5292,0.5202,1.0,73.1
M24,62ch,7,13,13,0.2806,0.2465,0.4938,0.4889,0.9994,106.5
M24,62ch,7,14,14,0.2631,0.223,0.5899,0.5624,1.0,78.7
M24,62ch,7,15,15,0.3353,0.3189,0.6712,0.6701,1.0,91.5
M24,62ch,21,1,1,0.1253,0.1135,0.3807,0.3847,1.0,89.5
M24,62ch,21,2,2,0.2483,0.21,0.4169,0.4248,0.9994,99.7
M24,62ch,21,3,3,0.1956,0.1306,0.3827,0.3633,1.0,118.0
M24,62ch,21,4,4,0.4044,0.3459,0.6684,0.6452,1.0,116.4
M24,62ch,21,5,5,0.1972,0.1536,0.2922,0.241,1.0,53.9
M24,62ch,21,6,6,0.3497,0.3574,0.6016,0.5997,1.0,109.5
M24,62ch,21,7,7,0.4623,0.4167,0.732,0.7272,1.0,121.0
M24,62ch,21,8,8,0.3162,0.3071,0.3891,0.3919,0.9996,81.1
M24,62ch,21,9,9,0.2403,0.2094,0.6161,0.5911,1.0,106.8
M24,62ch,21,10,10,0.2507,0.2148,0.4169,0.4201,1.0,100.2
M24,62ch,21,11,11,0.2611,0.1688,0.4845,0.4795,1.0,96.5
M24,62ch,21,12,12,0.2611,0.2346,0.4857,0.4637,1.0,97.6
M24,62ch,21,13,13,0.3988,0.4168,0.6455,0.6409,1.0,77.3
M24,62ch,21,14,14,0.3058,0.2366,0.5851,0.5826,1.0,70.6
M24,62ch,21,15,15,0.3022,0.2086,0.6881,0.6897,1.0,97.0
