model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M12,6ch,1,1,1,0.491,0.4837,0.5183,0.5149,1.0,27.3
M12,6ch,1,2,2,0.3361,0.3159,0.3296,0.3236,1.0,28.4
M12,6ch,1,3,3,0.3557,0.3242,0.3199,0.3126,1.0,22.1
M12,6ch,1,4,4,0.5409,0.5345,0.5352,0.5248,1.0,25.1
M12,6ch,1,5,5,0.3162,0.3037,0.3231,0.3008,1.0,20.5
M12,6ch,1,6,6,0.2212,0.2196,0.2535,0.2528,1.0,28.0
M12,6ch,1,7,7,0.5545,0.5545,0.5324,0.5344,1.0,24.4
M12,6ch,1,8,8,0.422,0.3941,0.4,0.3966,1.0,26.3
M12,6ch,1,9,9,0.503,0.4786,0.4608,0.456,1.0,26.8
M12,6ch,1,10,10,0.3681,0.3542,0.3891,0.3844,1.0,27.7
M12,6ch,1,11,11,0.3693,0.3719,0.3694,0.3721,1.0,27.9
M12,6ch,1,12,12,0.2994,0.2913,0.3316,0.3266,1.0,27.2
M12,6ch,1,13,13,0.4463,0.4373,0.4825,0.4613,1.0,23.5
M12,6ch,1,14,14,0.4615,0.453,0.3976,0.3916,1.0,28.4
M12,6ch,1,15,15,0.3541,0.3637,0.359,0.3676,1.0,27.7
M12,6ch,7,1,1,0.4942,0.4842,0.4604,0.4564,1.0,28.1
M12,6ch,7,2,2,0.3569,0.3362,0.3871,0.3661,1.0,27.0
M12,6ch,7,3,3,0.3489,0.3362,0.3308,0.3131,1.0,22.9
M12,6ch,7,4,4,0.4463,0.4396,0.4628,0.4651,1.0,28.5
M12,6ch,7,5,5,0.325,0.3022,0.3147,0.2866,1.0,24.6
M12,6ch,7,6,6,0.2323,0.2274,0.227,0.2227,1.0,26.8
M12,6ch,7,7,7,0.5385,0.5264,0.4998,0.4997,1.0,25.5
M12,6ch,7,8,8,0.4587,0.4422,0.4245,0.424,1.0,28.7
M12,6ch,7,9,9,0.4471,0.4243,0.4197,0.4134,1.0,25.5
M12,6ch,7,10,10,0.3956,0.3893,0.3791,0.3815,1.0,23.4
M12,6ch,7,11,11,0.382,0.3799,0.3714,0.3717,1.0,27.6
M12,6ch,7,12,12,0.2862,0.2812,0.3449,0.3439,1.0,30.8
M12,6ch,7,13,13,0.3625,0.3517,0.3835,0.3764,1.0,28.4
M12,6ch,7,14,14,0.4659,0.4663,0.4817,0.4811,1.0,26.4
M12,6ch,7,15,15,0.3705,0.3849,0.4008,0.4092,1.0,28.7
M12,6ch,21,1,1,0.4411,0.4352,0.466,0.4543,1.0,28.6
M12,6ch,21,2,2,0.3202,0.3029,0.2998,0.2965,1.0,25.9
M12,6ch,21,3,3,0.3329,0.3165,0.332,0.3267,1.0,24.3
M12,6ch,21,4,4,0.4754,0.475,0.5296,0.5216,1.0,25.1
M12,6ch,21,5,5,0.2778,0.261,0.369,0.3485,1.0,28.3
M12,6ch,21,6,6,0.2695,0.2737,0.2813,0.2917,1.0,24.9
M12,6ch,21,7,7,0.5321,0.53,0.5163,0.5097,1.0,27.5
M12,6ch,21,8,8,0.4395,0.422,0.4394,0.4387,1.0,30.6
M12,6ch,21,9,9,0.5325,0.5064,0.534,0.5111,1.0,30.2
M12,6ch,21,10,10,0.4004,0.3943,0.4157,0.4153,1.0,26.2
M12,6ch,21,11,11,0.3749,0.3746,0.3529,0.3473,1.0,28.1
M12,6ch,21,12,12,0.3473,0.3453,0.3372,0.3251,1.0,28.5
M12,6ch,21,13,13,0.4236,0.4252,0.4221,0.4268,1.0,26.1
M12,6ch,21,14,14,0.3888,0.3688,0.4483,0.4488,1.0,27.0
M12,6ch,21,15,15,0.3944,0.4126,0.3903,0.4051,1.0,25.2
