model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M25,62ch,1,1,1,0.493,0.4614,0.4105,0.3345,0.604,1667.7
M25,62ch,1,2,2,0.4399,0.4354,0.5811,0.5223,0.5756,1826.1
M25,62ch,1,3,3,0.406,0.3691,0.4149,0.4007,0.6344,2032.0
M25,62ch,1,4,4,0.4723,0.4494,0.5227,0.4726,0.6276,2083.8
M25,62ch,1,5,5,0.299,0.2906,0.4507,0.4175,0.5938,2012.8
M25,62ch,1,6,6,0.2842,0.284,0.5312,0.4911,0.5694,1825.6
M25,62ch,1,7,7,0.6691,0.6623,0.5863,0.5787,0.5327,1674.5
M25,62ch,1,8,8,0.4762,0.4283,0.6189,0.5913,0.6014,2221.9
M25,62ch,1,9,9,0.4028,0.4087,0.4829,0.444,0.5491,1767.4
M25,62ch,1,10,10,0.5002,0.5017,0.4455,0.4262,0.5415,1705.9
M25,62ch,1,11,11,0.3705,0.3581,0.4101,0.3776,0.5518,1827.6
M25,62ch,1,12,12,0.3174,0.3151,0.4604,0.4307,0.5791,1846.8
M25,62ch,1,13,13,0.3313,0.3011,0.4853,0.4632,0.6146,1962.6
M25,62ch,1,14,14,0.4096,0.3719,0.608,0.5947,0.6249,2205.7
M25,62ch,1,15,15,0.5725,0.5713,0.6829,0.6604,0.5918,2178.3
M25,62ch,7,1,1,0.4008,0.3907,0.4833,0.449,0.5439,1774.4
M25,62ch,7,2,2,0.4982,0.498,0.5928,0.5902,0.5328,1777.6
M25,62ch,7,3,3,0.3741,0.3399,0.4233,0.4298,0.5918,1907.6
M25,62ch,7,4,4,0.4515,0.4384,0.5304,0.5374,0.6225,2140.6
M25,62ch,7,5,5,0.398,0.3778,0.398,0.4023,0.6241,2177.5
M25,62ch,7,6,6,0.2347,0.234,0.3907,0.3651,0.5943,1932.6
M25,62ch,7,7,7,0.5006,0.5026,0.503,0.4899,0.5374,2173.8
M25,62ch,7,8,8,0.3832,0.3618,0.5183,0.5029,0.5601,1865.7
M25,62ch,7,9,9,0.4331,0.4167,0.5352,0.5349,0.525,1645.9
M25,62ch,7,10,10,0.4659,0.4672,0.4632,0.4652,0.5479,1716.2
M25,62ch,7,11,11,0.3697,0.3694,0.5425,0.5326,0.6066,2148.4
M25,62ch,7,12,12,0.3321,0.3297,0.4229,0.402,0.5884,2165.6
M25,62ch,7,13,13,0.4691,0.4485,0.5264,0.5348,0.6315,2129.6
M25,62ch,7,14,14,0.4124,0.4052,0.6262,0.6257,0.5782,1994.7
M25,62ch,7,15,15,0.5218,0.4999,0.7457,0.7366,0.6015,1870.8
M25,62ch,21,1,1,0.3377,0.3132,0.4728,0.4291,0.6329,2062.5
M25,62ch,21,2,2,0.5166,0.5372,0.6278,0.628,0.6196,2045.7
M25,62ch,21,3,3,0.2886,0.2644,0.4592,0.4348,0.5488,1610.6
M25,62ch,21,4,4,0.4144,0.3995,0.4684,0.4698,0.6127,1885.7
M25,62ch,21,5,5,0.2719,0.2686,0.3795,0.3663,0.6458,2387.1
M25,62ch,21,6,6,0.212,0.216,0.5541,0.5455,0.5855,2111.3
M25,62ch,21,7,7,0.5509,0.5326,0.7425,0.7359,0.5846,2364.2
M25,62ch,21,8,8,0.3641,0.3672,0.5698,0.5603,0.5377,1929.9
M25,62ch,21,9,9,0.5098,0.4964,0.5911,0.5972,0.5772,2561.6
M25,62ch,21,10,10,0.5042,0.508,0.528,0.5263,0.5327,2015.2
M25,62ch,21,11,11,0.4539,0.4365,0.5175,0.5015,0.6304,2245.2
M25,62ch,21,12,12,0.3856,0.3638,0.3437,0.3272,0.6344,2718.8
M25,62ch,21,13,13,0.3956,0.3968,0.5219,0.5193,0.6175,2291.8
M25,62ch,21,14,14,0.4475,0.4401,0.5803,0.587,0.5844,2120.9
M25,62ch,21,15,15,0.5246,0.5171,0.6032,0.5863,0.5748,1836.2
