model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M24,6ch,1,1,1,0.3709,0.3721,0.408,0.4054,0.9966,194.9
M24,6ch,1,2,2,0.3277,0.2839,0.3533,0.3119,0.9655,150.2
M24,6ch,1,3,3,0.3182,0.2603,0.404,0.3888,0.9887,177.2
M24,6ch,1,4,4,0.4431,0.36,0.4704,0.4083,0.9884,148.7
M24,6ch,1,5,5,0.2547,0.2242,0.2744,0.2554,0.9835,132.4
M24,6ch,1,6,6,0.3553,0.2887,0.4398,0.3903,0.9967,161.2
M24,6ch,1,7,7,0.2894,0.3038,0.4233,0.4173,0.9942,145.8
M24,6ch,1,8,8,0.2607,0.2225,0.3123,0.284,0.9949,152.6
M24,6ch,1,9,9,0.2192,0.1477,0.2668,0.22,0.9918,158.4
M24,6ch,1,10,10,0.2659,0.2234,0.3187,0.2945,0.9863,190.9
M24,6ch,1,11,11,0.2323,0.2248,0.3533,0.3486,0.9852,192.3
M24,6ch,1,12,12,0.2651,0.2059,0.3465,0.3093,0.9877,143.3
M24,6ch,1,13,13,0.2599,0.2194,0.307,0.2668,0.9709,127.9
M24,6ch,1,14,14,0.319,0.2726,0.3557,0.3154,0.984,181.1
M24,6ch,1,15,15,0.1884,0.1607,0.2495,0.2153,0.9879,179.8
M24,6ch,7,1,1,0.2403,0.2069,0.3219,0.3017,0.9955,160.7
M24,6ch,7,2,2,0.2395,0.1532,0.334,0.3139,0.9683,101.9
M24,6ch,7,3,3,0.2611,0.1691,0.3412,0.2817,0.9942,189.4
M24,6ch,7,4,4,0.2762,0.2304,0.4829,0.4175,0.9917,145.2
M24,6ch,7,5,5,0.2435,0.2199,0.4016,0.3576,0.962,190.8
M24,6ch,7,6,6,0.3086,0.2716,0.4141,0.3788,0.9935,191.0
M24,6ch,7,7,7,0.2846,0.2767,0.3767,0.3707,0.9938,172.1
M24,6ch,7,8,8,0.2655,0.183,0.3364,0.2768,0.984,191.4
M24,6ch,7,9,9,0.1908,0.1388,0.3807,0.3688,0.9906,192.4
M24,6ch,7,10,10,0.3321,0.2728,0.5231,0.4451,0.9915,115.1
M24,6ch,7,11,11,0.2052,0.1769,0.3928,0.3829,0.9926,193.3
M24,6ch,7,12,12,0.2531,0.2195,0.3565,0.3706,0.995,192.4
M24,6ch,7,13,13,0.3812,0.3283,0.4249,0.3965,0.9888,158.6
M24,6ch,7,14,14,0.4156,0.3554,0.4543,0.4102,0.982,156.9
M24,6ch,7,15,15,0.0683,0.0687,0.1823,0.2028,0.9841,182.9
M24,6ch,21,1,1,0.3357,0.2239,0.4736,0.4146,0.9322,62.1
M24,6ch,21,2,2,0.2104,0.1737,0.2483,0.2164,0.9846,371.9
M24,6ch,21,3,3,0.2347,0.2035,0.2881,0.2822,0.9963,526.5
M24,6ch,21,4,4,0.2623,0.1867,0.3408,0.2805,0.9894,667.6
M24,6ch,21,5,5,0.1697,0.1408,0.2825,0.2367,0.9766,633.3
M24,6ch,21,6,6,0.2499,0.1653,0.2869,0.2331,0.9914,590.7
M24,6ch,21,7,7,0.2255,0.227,0.3127,0.3276,0.9917,20283.2
M24,6ch,21,8,8,0.275,0.239,0.2885,0.2763,0.9919,118.3
M24,6ch,21,9,9,0.1896,0.1576,0.431,0.3954,0.9945,170.3
M24,6ch,21,10,10,0.2176,0.1882,0.396,0.3758,0.9902,169.3
M24,6ch,21,11,11,0.2008,0.1749,0.3332,0.3209,0.9918,175.6
M24,6ch,21,12,12,0.2627,0.2147,0.3803,0.3236,0.9901,136.1
M24,6ch,21,13,13,0.2782,0.238,0.3984,0.3745,0.9842,183.9
M24,6ch,21,14,14,0.3042,0.2573,0.3964,0.3816,0.9748,157.3
M24,6ch,21,15,15,0.4144,0.3515,0.5272,0.4958,0.9898,178.0
