model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M16,6ch,1,1,1,0.3705,0.3498,0.3674,0.3477,1.0,130.1
M16,6ch,1,2,2,0.4363,0.4366,0.4435,0.4452,1.0,105.7
M16,6ch,1,3,3,0.285,0.2537,0.2833,0.252,1.0,129.6
M16,6ch,1,4,4,0.4842,0.4861,0.4913,0.4929,1.0,116.1
M16,6ch,1,5,5,0.3593,0.3429,0.3626,0.3459,1.0,105.4
M16,6ch,1,6,6,0.3349,0.3208,0.3453,0.3307,1.0,109.7
M16,6ch,1,7,7,0.3629,0.3707,0.3726,0.3808,1.0,97.3
M16,6ch,1,8,8,0.3717,0.3578,0.3594,0.3421,1.0,108.0
M16,6ch,1,9,9,0.4727,0.4455,0.4708,0.4446,1.0,119.5
M16,6ch,1,10,10,0.3461,0.3312,0.3441,0.3296,1.0,113.6
M16,6ch,1,11,11,0.3888,0.361,0.3924,0.3688,1.0,116.2
M16,6ch,1,12,12,0.3074,0.3014,0.307,0.3009,1.0,115.6
M16,6ch,1,13,13,0.2778,0.2836,0.2805,0.2862,1.0,120.2
M16,6ch,1,14,14,0.3385,0.3187,0.3412,0.3202,1.0,114.2
M16,6ch,1,15,15,0.4092,0.4049,0.4133,0.4083,1.0,114.8
M16,6ch,7,1,1,0.4611,0.4623,0.4588,0.4592,1.0,140.2
M16,6ch,7,2,2,0.2974,0.3016,0.3058,0.3082,1.0,103.2
M16,6ch,7,3,3,0.3174,0.2781,0.3219,0.2827,1.0,121.6
M16,6ch,7,4,4,0.4699,0.4611,0.4704,0.4618,1.0,99.5
M16,6ch,7,5,5,0.414,0.3758,0.4129,0.3747,1.0,94.5
M16,6ch,7,6,6,0.3533,0.3368,0.3537,0.3376,1.0,129.5
M16,6ch,7,7,7,0.2802,0.2862,0.2825,0.2882,1.0,119.1
M16,6ch,7,8,8,0.285,0.2533,0.2909,0.2604,1.0,124.0
M16,6ch,7,9,9,0.4687,0.4677,0.4712,0.4688,1.0,110.0
M16,6ch,7,10,10,0.3768,0.3632,0.3787,0.3647,1.0,117.6
M16,6ch,7,11,11,0.4088,0.408,0.4101,0.408,1.0,131.6
M16,6ch,7,12,12,0.277,0.2768,0.2801,0.2794,1.0,113.8
M16,6ch,7,13,13,0.4124,0.4037,0.4197,0.4074,1.0,104.8
M16,6ch,7,14,14,0.4132,0.3938,0.4237,0.4056,1.0,118.9
M16,6ch,7,15,15,0.424,0.4209,0.4286,0.4267,1.0,137.6
M16,6ch,21,1,1,0.3824,0.3678,0.3831,0.3687,1.0,151.0
M16,6ch,21,2,2,0.2727,0.267,0.2744,0.2701,1.0,142.3
M16,6ch,21,3,3,0.4291,0.4142,0.4294,0.4141,1.0,142.3
M16,6ch,21,4,4,0.5066,0.495,0.5082,0.4962,1.0,109.1
M16,6ch,21,5,5,0.3218,0.3079,0.3211,0.3057,1.0,98.1
M16,6ch,21,6,6,0.2766,0.2753,0.2869,0.2855,1.0,107.4
M16,6ch,21,7,7,0.3872,0.3993,0.392,0.4037,1.0,98.3
M16,6ch,21,8,8,0.3697,0.3707,0.3698,0.3713,1.0,105.2
M16,6ch,21,9,9,0.4766,0.4645,0.4797,0.4682,1.0,111.4
M16,6ch,21,10,10,0.3162,0.316,0.3219,0.322,1.0,116.7
M16,6ch,21,11,11,0.3018,0.2908,0.3034,0.2922,1.0,123.0
M16,6ch,21,12,12,0.2958,0.2804,0.2998,0.2836,1.0,124.3
M16,6ch,21,13,13,0.3721,0.3438,0.371,0.3429,1.0,126.8
M16,6ch,21,14,14,0.3042,0.2948,0.2986,0.289,1.0,114.5
M16,6ch,21,15,15,0.3621,0.3519,0.371,0.3627,1.0,120.0
