model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M13,62ch,1,1,1,0.3265,0.3359,0.3272,0.336,1.0,50.4
M13,62ch,1,2,2,0.5645,0.5675,0.5678,0.5706,1.0,52.3
M13,62ch,1,3,3,0.3218,0.2874,0.3199,0.285,1.0,49.4
M13,62ch,1,4,4,0.4683,0.4675,0.472,0.4712,1.0,49.2
M13,62ch,1,5,5,0.3537,0.3067,0.3815,0.3453,1.0,29.3
M13,62ch,1,6,6,0.4156,0.3978,0.4169,0.3997,1.0,38.4
M13,62ch,1,7,7,0.6942,0.6893,0.6966,0.6921,1.0,53.1
M13,62ch,1,8,8,0.3405,0.3328,0.3477,0.3396,1.0,52.1
M13,62ch,1,9,9,0.2974,0.3001,0.2998,0.3019,1.0,61.0
M13,62ch,1,10,10,0.4942,0.4988,0.497,0.5015,1.0,51.2
M13,62ch,1,11,11,0.3126,0.2875,0.3111,0.2862,1.0,53.8
M13,62ch,1,12,12,0.398,0.3943,0.4008,0.3969,1.0,55.7
M13,62ch,1,13,13,0.4156,0.4138,0.4157,0.414,1.0,62.1
M13,62ch,1,14,14,0.511,0.4969,0.5074,0.4915,1.0,45.6
M13,62ch,1,15,15,0.5621,0.555,0.5626,0.5554,1.0,62.6
M13,62ch,7,1,1,0.3413,0.3425,0.3408,0.342,1.0,56.6
M13,62ch,7,2,2,0.4802,0.5019,0.4813,0.5034,1.0,54.6
M13,62ch,7,3,3,0.3345,0.3129,0.332,0.3091,1.0,50.4
M13,62ch,7,4,4,0.479,0.4826,0.4781,0.4816,1.0,53.1
M13,62ch,7,5,5,0.281,0.2187,0.266,0.202,1.0,38.9
M13,62ch,7,6,6,0.4028,0.4037,0.4036,0.4049,1.0,49.4
M13,62ch,7,7,7,0.707,0.6979,0.7099,0.701,1.0,49.4
M13,62ch,7,8,8,0.4651,0.4508,0.468,0.455,1.0,57.1
M13,62ch,7,9,9,0.3341,0.3016,0.3328,0.3001,1.0,56.4
M13,62ch,7,10,10,0.392,0.3993,0.3924,0.3994,1.0,61.0
M13,62ch,7,11,11,0.2435,0.214,0.2443,0.2145,1.0,46.5
M13,62ch,7,12,12,0.4643,0.4622,0.4648,0.463,1.0,45.9
M13,62ch,7,13,13,0.3461,0.3368,0.3461,0.3366,1.0,50.6
M13,62ch,7,14,14,0.5764,0.5659,0.5815,0.5705,1.0,57.1
M13,62ch,7,15,15,0.5541,0.5509,0.5537,0.5502,1.0,58.8
M13,62ch,21,1,1,0.398,0.3989,0.4105,0.4134,0.9998,40.1
M13,62ch,21,2,2,0.5561,0.5611,0.5537,0.5582,1.0,40.0
M13,62ch,21,3,3,0.2615,0.221,0.2588,0.2199,1.0,42.9
M13,62ch,21,4,4,0.493,0.4924,0.4889,0.488,1.0,72.2
M13,62ch,21,5,5,0.2902,0.2087,0.2905,0.2091,1.0,43.6
M13,62ch,21,6,6,0.4212,0.4325,0.4209,0.4328,1.0,42.0
M13,62ch,21,7,7,0.6754,0.6785,0.6793,0.6815,1.0,172.8
M13,62ch,21,8,8,0.3661,0.3678,0.3803,0.3825,1.0,169.0
M13,62ch,21,9,9,0.3589,0.3501,0.3594,0.3508,1.0,207.8
M13,62ch,21,10,10,0.4176,0.414,0.4173,0.4146,1.0,169.4
M13,62ch,21,11,11,0.2483,0.2162,0.2479,0.2162,1.0,158.2
M13,62ch,21,12,12,0.4407,0.439,0.4406,0.4388,1.0,155.8
M13,62ch,21,13,13,0.414,0.4183,0.4153,0.4195,1.0,186.3
M13,62ch,21,14,14,0.5593,0.5519,0.5614,0.5542,1.0,174.6
M13,62ch,21,15,15,0.5649,0.5649,0.5618,0.561,1.0,195.7
