model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M11,6ch,1,1,1,0.4579,0.4519,0.4579,0.4433,1.0,33.6
M11,6ch,1,2,2,0.3309,0.3173,0.3505,0.3393,1.0,37.6
M11,6ch,1,3,3,0.3026,0.3015,0.3501,0.3437,1.0,30.8
M11,6ch,1,4,4,0.4591,0.4642,0.4926,0.496,1.0,33.7
M11,6ch,1,5,5,0.3277,0.3163,0.3875,0.3584,1.0,25.3
M11,6ch,1,6,6,0.2232,0.2258,0.2732,0.2713,1.0,33.1
M11,6ch,1,7,7,0.5741,0.5712,0.5392,0.5349,1.0,28.2
M11,6ch,1,8,8,0.3812,0.3594,0.4145,0.385,1.0,28.8
M11,6ch,1,9,9,0.4798,0.465,0.528,0.5083,1.0,27.7
M11,6ch,1,10,10,0.4431,0.4338,0.4241,0.4194,1.0,31.2
M11,6ch,1,11,11,0.3421,0.3388,0.3638,0.3638,1.0,30.8
M11,6ch,1,12,12,0.3154,0.3182,0.34,0.3405,1.0,30.3
M11,6ch,1,13,13,0.3884,0.379,0.4338,0.4223,1.0,32.2
M11,6ch,1,14,14,0.4778,0.4649,0.4575,0.4433,1.0,32.3
M11,6ch,1,15,15,0.3836,0.3869,0.3936,0.3924,1.0,26.7
M11,6ch,7,1,1,0.4263,0.409,0.4471,0.4361,1.0,26.2
M11,6ch,7,2,2,0.2942,0.2805,0.2712,0.2613,1.0,25.0
M11,6ch,7,3,3,0.3333,0.3239,0.3219,0.3161,1.0,23.7
M11,6ch,7,4,4,0.5182,0.5055,0.5175,0.5107,1.0,29.0
M11,6ch,7,5,5,0.3721,0.3485,0.3976,0.3799,1.0,25.9
M11,6ch,7,6,6,0.2411,0.2445,0.2225,0.2173,1.0,31.7
M11,6ch,7,7,7,0.5337,0.5343,0.501,0.5009,1.0,28.7
M11,6ch,7,8,8,0.4267,0.4043,0.4302,0.4169,1.0,30.7
M11,6ch,7,9,9,0.5042,0.4884,0.5485,0.5428,1.0,34.2
M11,6ch,7,10,10,0.3924,0.3868,0.404,0.402,1.0,29.3
M11,6ch,7,11,11,0.3577,0.3539,0.3686,0.3554,1.0,32.4
M11,6ch,7,12,12,0.3701,0.369,0.3457,0.3389,1.0,27.7
M11,6ch,7,13,13,0.3441,0.3368,0.3996,0.3881,1.0,30.6
M11,6ch,7,14,14,0.4894,0.4836,0.4909,0.489,1.0,30.7
M11,6ch,7,15,15,0.3589,0.3686,0.3859,0.3955,1.0,32.5
M11,6ch,21,1,1,0.5214,0.5184,0.5356,0.5314,1.0,32.0
M11,6ch,21,2,2,0.3337,0.319,0.3115,0.3166,1.0,32.7
M11,6ch,21,3,3,0.3541,0.349,0.3606,0.3597,1.0,29.1
M11,6ch,21,4,4,0.5301,0.5224,0.6072,0.5937,1.0,34.7
M11,6ch,21,5,5,0.3988,0.3693,0.3775,0.3475,1.0,26.6
M11,6ch,21,6,6,0.2259,0.229,0.2724,0.2782,0.9996,28.7
M11,6ch,21,7,7,0.511,0.5181,0.5091,0.5014,1.0,33.5
M11,6ch,21,8,8,0.4088,0.3858,0.3767,0.3684,1.0,34.0
M11,6ch,21,9,9,0.5341,0.5109,0.5107,0.4861,1.0,26.8
M11,6ch,21,10,10,0.4651,0.4559,0.4732,0.4727,1.0,27.1
M11,6ch,21,11,11,0.3601,0.3576,0.3376,0.3403,1.0,35.9
M11,6ch,21,12,12,0.3114,0.3129,0.3312,0.3266,1.0,36.4
M11,6ch,21,13,13,0.3457,0.3369,0.3549,0.3527,1.0,30.9
M11,6ch,21,14,14,0.4826,0.4648,0.5264,0.5309,1.0,27.9
M11,6ch,21,15,15,0.388,0.3996,0.3879,0.4012,1.0,33.8
