model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M21,62ch,1,1,1,0.3756,0.3742,0.5505,0.5404,0.5228,264.1
M21,62ch,1,2,2,0.4479,0.4484,0.6354,0.6138,0.5016,258.9
M21,62ch,1,3,3,0.321,0.2974,0.5091,0.4881,0.5177,267.2
M21,62ch,1,4,4,0.4699,0.4641,0.5972,0.5895,0.5195,263.1
M21,62ch,1,5,5,0.4184,0.4002,0.4724,0.4001,0.5278,269.8
M21,62ch,1,6,6,0.305,0.3079,0.4958,0.5161,0.5413,177.4
M21,62ch,1,7,7,0.5768,0.577,0.666,0.6653,0.5074,173.0
M21,62ch,1,8,8,0.4287,0.4084,0.6467,0.6436,0.5032,173.5
M21,62ch,1,9,9,0.3629,0.3434,0.6165,0.6158,0.5355,172.8
M21,62ch,1,10,10,0.4635,0.4655,0.4946,0.4659,0.521,174.5
M21,62ch,1,11,11,0.3218,0.3243,0.4942,0.4789,0.5329,173.6
M21,62ch,1,12,12,0.3289,0.3282,0.3952,0.3753,0.5319,172.3
M21,62ch,1,13,13,0.3701,0.3527,0.4728,0.4545,0.5148,174.7
M21,62ch,1,14,14,0.4974,0.4994,0.6833,0.6676,0.5323,173.1
M21,62ch,1,15,15,0.6064,0.6055,0.6736,0.6395,0.5048,172.9
M21,62ch,7,1,1,0.4251,0.4226,0.5525,0.5072,0.5214,172.0
M21,62ch,7,2,2,0.4259,0.4248,0.6761,0.6341,0.5246,174.4
M21,62ch,7,3,3,0.2902,0.2698,0.4869,0.4007,0.547,174.2
M21,62ch,7,4,4,0.4407,0.4327,0.5984,0.5406,0.5126,174.4
M21,62ch,7,5,5,0.3621,0.3586,0.5441,0.4995,0.5206,173.7
M21,62ch,7,6,6,0.2862,0.2841,0.495,0.4925,0.5244,168.8
M21,62ch,7,7,7,0.5812,0.5794,0.6563,0.6424,0.4888,173.4
M21,62ch,7,8,8,0.4511,0.4487,0.5376,0.5125,0.512,171.1
M21,62ch,7,9,9,0.396,0.4003,0.6254,0.62,0.5169,173.6
M21,62ch,7,10,10,0.4475,0.4463,0.5187,0.4973,0.5249,171.6
M21,62ch,7,11,11,0.3086,0.3126,0.5553,0.5209,0.5137,171.3
M21,62ch,7,12,12,0.2443,0.24,0.5412,0.5062,0.5426,172.4
M21,62ch,7,13,13,0.396,0.3742,0.5497,0.5182,0.506,171.7
M21,62ch,7,14,14,0.4363,0.4382,0.7654,0.7554,0.514,170.1
M21,62ch,7,15,15,0.5389,0.5371,0.6539,0.5697,0.5041,170.6
M21,62ch,21,1,1,0.293,0.2893,0.4801,0.4857,0.5005,173.8
M21,62ch,21,2,2,0.4188,0.4206,0.6781,0.674,0.4976,172.6
M21,62ch,21,3,3,0.309,0.2973,0.559,0.5646,0.5259,173.6
M21,62ch,21,4,4,0.408,0.4042,0.6479,0.6285,0.4996,172.9
M21,62ch,21,5,5,0.4259,0.4029,0.4072,0.4054,0.5223,172.3
M21,62ch,21,6,6,0.3493,0.3499,0.5553,0.5761,0.5135,172.1
M21,62ch,21,7,7,0.6092,0.6038,0.6753,0.6733,0.5234,171.1
M21,62ch,21,8,8,0.5054,0.5056,0.6519,0.6532,0.5124,174.1
M21,62ch,21,9,9,0.3569,0.3459,0.6543,0.6511,0.5256,170.9
M21,62ch,21,10,10,0.5034,0.5047,0.5268,0.531,0.5175,171.8
M21,62ch,21,11,11,0.2966,0.299,0.526,0.5246,0.5228,172.5
M21,62ch,21,12,12,0.3094,0.3105,0.4471,0.4473,0.5351,172.3
M21,62ch,21,13,13,0.3557,0.3299,0.5662,0.5549,0.5327,172.6
M21,62ch,21,14,14,0.4886,0.4781,0.6274,0.6227,0.5255,172.4
M21,62ch,21,15,15,0.5605,0.56,0.6922,0.6926,0.4917,173.3
