model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M11,62ch,1,1,1,0.3812,0.3866,0.4294,0.4334,1.0,29.3
M11,62ch,1,2,2,0.5425,0.5442,0.5412,0.544,1.0,30.9
M11,62ch,1,3,3,0.4443,0.4382,0.4873,0.4777,1.0,22.9
M11,62ch,1,4,4,0.5349,0.5285,0.5658,0.5614,1.0,29.6
M11,62ch,1,5,5,0.4535,0.4253,0.4801,0.4731,1.0,20.4
M11,62ch,1,6,6,0.4395,0.4418,0.4402,0.439,1.0,27.3
M11,62ch,1,7,7,0.7062,0.6996,0.7252,0.7162,1.0,26.7
M11,62ch,1,8,8,0.3485,0.3519,0.4004,0.4111,1.0,26.4
M11,62ch,1,9,9,0.4303,0.4378,0.4217,0.4244,1.0,29.4
M11,62ch,1,10,10,0.4403,0.4308,0.4664,0.454,1.0,27.8
M11,62ch,1,11,11,0.2679,0.2661,0.2986,0.2997,1.0,23.5
M11,62ch,1,12,12,0.5565,0.549,0.596,0.593,1.0,27.8
M11,62ch,1,13,13,0.4567,0.4564,0.4181,0.4171,1.0,23.2
M11,62ch,1,14,14,0.5018,0.4959,0.5219,0.5152,1.0,28.9
M11,62ch,1,15,15,0.5433,0.5415,0.5344,0.5297,1.0,27.0
M11,62ch,7,1,1,0.3717,0.3783,0.4419,0.4459,1.0,24.7
M11,62ch,7,2,2,0.5465,0.5553,0.5247,0.5279,1.0,24.5
M11,62ch,7,3,3,0.4475,0.462,0.4579,0.4688,1.0,26.4
M11,62ch,7,4,4,0.5453,0.5429,0.569,0.5646,1.0,30.2
M11,62ch,7,5,5,0.4591,0.4266,0.4507,0.4175,1.0,24.8
M11,62ch,7,6,6,0.4427,0.4388,0.4294,0.4206,1.0,24.9
M11,62ch,7,7,7,0.691,0.6864,0.6801,0.6746,1.0,27.5
M11,62ch,7,8,8,0.3884,0.3939,0.497,0.5035,1.0,25.0
M11,62ch,7,9,9,0.3768,0.3731,0.369,0.3671,1.0,22.1
M11,62ch,7,10,10,0.4707,0.4694,0.4785,0.4794,1.0,29.5
M11,62ch,7,11,11,0.2487,0.2355,0.2447,0.2379,1.0,21.6
M11,62ch,7,12,12,0.5122,0.508,0.5513,0.5485,1.0,20.3
M11,62ch,7,13,13,0.4603,0.4686,0.4954,0.506,1.0,19.5
M11,62ch,7,14,14,0.4854,0.4813,0.5119,0.5083,1.0,32.4
M11,62ch,7,15,15,0.5393,0.5468,0.6089,0.6111,1.0,23.9
M11,62ch,21,1,1,0.3689,0.3744,0.4109,0.4205,1.0,26.2
M11,62ch,21,2,2,0.5896,0.5965,0.604,0.6098,1.0,27.0
M11,62ch,21,3,3,0.3816,0.3727,0.4161,0.4049,1.0,25.4
M11,62ch,21,4,4,0.5541,0.5467,0.5763,0.5743,1.0,29.5
M11,62ch,21,5,5,0.4451,0.4023,0.4708,0.4261,1.0,20.6
M11,62ch,21,6,6,0.4794,0.4754,0.4322,0.4234,1.0,26.7
M11,62ch,21,7,7,0.703,0.6936,0.7239,0.7153,1.0,29.1
M11,62ch,21,8,8,0.4124,0.4148,0.4696,0.4763,1.0,27.6
M11,62ch,21,9,9,0.3868,0.3884,0.4213,0.4212,1.0,32.9
M11,62ch,21,10,10,0.5281,0.5225,0.5336,0.522,1.0,23.6
M11,62ch,21,11,11,0.2926,0.2971,0.373,0.3702,1.0,26.3
M11,62ch,21,12,12,0.5812,0.5816,0.5964,0.5939,1.0,25.7
M11,62ch,21,13,13,0.5058,0.5152,0.5127,0.5083,1.0,26.2
M11,62ch,21,14,14,0.525,0.526,0.5215,0.5198,1.0,29.4
M11,62ch,21,15,15,0.6543,0.6561,0.6254,0.6282,1.0,28.9
