model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M26,6ch,1,1,1,0.4703,0.4504,0.5171,0.4722,0.7208,255.1
M26,6ch,1,2,2,0.4251,0.4222,0.6085,0.5945,0.694,249.7
M26,6ch,1,3,3,0.305,0.2886,0.4181,0.3791,0.7299,254.0
M26,6ch,1,4,4,0.481,0.4785,0.5332,0.5286,0.7256,262.2
M26,6ch,1,5,5,0.3305,0.2861,0.567,0.5625,0.723,266.6
M26,6ch,1,6,6,0.2958,0.296,0.4865,0.4319,0.6808,250.2
M26,6ch,1,7,7,0.4599,0.4595,0.627,0.6333,0.7175,262.4
M26,6ch,1,8,8,0.4351,0.4021,0.5223,0.4995,0.7029,245.5
M26,6ch,1,9,9,0.4683,0.4517,0.6499,0.6298,0.7295,253.7
M26,6ch,1,10,10,0.4487,0.4367,0.6044,0.5507,0.6701,265.6
M26,6ch,1,11,11,0.3685,0.3686,0.4294,0.3882,0.7056,259.3
M26,6ch,1,12,12,0.2491,0.2497,0.3863,0.3393,0.6979,264.2
M26,6ch,1,13,13,0.3705,0.3471,0.4668,0.4483,0.7186,253.0
M26,6ch,1,14,14,0.4176,0.3669,0.6406,0.6255,0.7077,262.1
M26,6ch,1,15,15,0.3581,0.3407,0.6366,0.6104,0.7028,244.5
M26,6ch,7,1,1,0.4631,0.4514,0.503,0.429,0.6845,266.6
M26,6ch,7,2,2,0.5106,0.5105,0.6165,0.5517,0.695,253.1
M26,6ch,7,3,3,0.3214,0.2821,0.4765,0.3869,0.7291,257.9
M26,6ch,7,4,4,0.4587,0.4475,0.6942,0.6156,0.7208,268.9
M26,6ch,7,5,5,0.3453,0.319,0.5191,0.4573,0.7327,260.6
M26,6ch,7,6,6,0.2922,0.2893,0.4789,0.4145,0.706,271.4
M26,6ch,7,7,7,0.4631,0.4648,0.5883,0.5669,0.6645,271.0
M26,6ch,7,8,8,0.4216,0.3962,0.4966,0.4443,0.6841,271.6
M26,6ch,7,9,9,0.3816,0.3776,0.5855,0.514,0.7026,272.9
M26,6ch,7,10,10,0.5126,0.4869,0.5738,0.5067,0.7225,258.5
M26,6ch,7,11,11,0.3529,0.333,0.4821,0.4131,0.7316,273.3
M26,6ch,7,12,12,0.3066,0.3019,0.5549,0.5197,0.6817,273.4
M26,6ch,7,13,13,0.3393,0.3387,0.5388,0.5063,0.7189,246.9
M26,6ch,7,14,14,0.4335,0.42,0.7167,0.6879,0.6945,274.1
M26,6ch,7,15,15,0.3062,0.2972,0.7078,0.7051,0.7321,274.9
M26,6ch,21,1,1,0.4407,0.4205,0.5706,0.5688,0.7091,274.9
M26,6ch,21,2,2,0.4052,0.3993,0.6237,0.6031,0.7142,276.6
M26,6ch,21,3,3,0.2383,0.2386,0.462,0.4588,0.722,276.4
M26,6ch,21,4,4,0.4455,0.4364,0.666,0.6555,0.7289,264.0
M26,6ch,21,5,5,0.3541,0.309,0.5594,0.5541,0.7454,275.8
M26,6ch,21,6,6,0.3281,0.3358,0.5469,0.5383,0.688,278.2
M26,6ch,21,7,7,0.5413,0.5456,0.697,0.69,0.7148,237.0
M26,6ch,21,8,8,0.3257,0.3177,0.503,0.4892,0.6835,275.8
M26,6ch,21,9,9,0.3553,0.3523,0.7046,0.7023,0.7263,274.5
M26,6ch,21,10,10,0.4974,0.4631,0.5887,0.5861,0.704,275.2
M26,6ch,21,11,11,0.3461,0.3373,0.5292,0.4989,0.7381,265.4
M26,6ch,21,12,12,0.3186,0.3018,0.5344,0.523,0.7189,271.0
M26,6ch,21,13,13,0.3453,0.346,0.6326,0.6287,0.7377,255.8
M26,6ch,21,14,14,0.3908,0.3884,0.6813,0.6822,0.6751,277.9
M26,6ch,21,15,15,0.4295,0.4345,0.7517,0.7609,0.7258,258.8
