model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M18,62ch,1,1,1,0.4878,0.4737,0.4877,0.4737,0.9994,308.0
M18,62ch,1,2,2,0.5792,0.582,0.5843,0.587,1.0,211.4
M18,62ch,1,3,3,0.4271,0.4088,0.4278,0.4096,1.0,262.9
M18,62ch,1,4,4,0.5118,0.498,0.5091,0.495,0.9972,359.6
M18,62ch,1,5,5,0.3633,0.3205,0.3638,0.3212,0.9997,256.0
M18,62ch,1,6,6,0.2743,0.2543,0.2724,0.2533,1.0,260.4
M18,62ch,1,7,7,0.622,0.622,0.6225,0.6226,0.9998,320.3
M18,62ch,1,8,8,0.4044,0.395,0.4064,0.3974,1.0,258.8
M18,62ch,1,9,9,0.3896,0.3629,0.3883,0.3653,0.9998,245.2
M18,62ch,1,10,10,0.4244,0.4331,0.427,0.4357,0.9998,207.3
M18,62ch,1,11,11,0.2974,0.2974,0.2998,0.3004,0.999,148.9
M18,62ch,1,12,12,0.4036,0.4031,0.4068,0.4061,0.9995,154.9
M18,62ch,1,13,13,0.4535,0.4345,0.4563,0.4383,0.9993,219.2
M18,62ch,1,14,14,0.4806,0.4765,0.4805,0.4762,1.0,202.3
M18,62ch,1,15,15,0.5329,0.538,0.5368,0.5418,0.9925,135.3
M18,62ch,7,1,1,0.4008,0.3873,0.4032,0.3895,1.0,271.6
M18,62ch,7,2,2,0.4986,0.5004,0.4978,0.4994,0.9998,372.2
M18,62ch,7,3,3,0.3577,0.3328,0.359,0.3335,0.9996,211.2
M18,62ch,7,4,4,0.4363,0.426,0.4435,0.4344,1.0,307.3
M18,62ch,7,5,5,0.3589,0.2901,0.371,0.3037,0.9996,155.4
M18,62ch,7,6,6,0.3545,0.3332,0.3557,0.3344,0.9996,204.7
M18,62ch,7,7,7,0.5118,0.4929,0.5111,0.4925,0.9982,286.3
M18,62ch,7,8,8,0.4866,0.4603,0.4829,0.4576,1.0,297.7
M18,62ch,7,9,9,0.3677,0.3451,0.3666,0.3441,0.9974,325.6
M18,62ch,7,10,10,0.3864,0.3804,0.3899,0.384,0.9994,255.2
M18,62ch,7,11,11,0.3944,0.3879,0.3944,0.3883,1.0,244.8
M18,62ch,7,12,12,0.3792,0.3637,0.3775,0.3621,0.9993,313.4
M18,62ch,7,13,13,0.3852,0.3741,0.3835,0.3722,0.9986,204.9
M18,62ch,7,14,14,0.4004,0.4026,0.4113,0.4123,0.9988,137.6
M18,62ch,7,15,15,0.424,0.4265,0.4213,0.424,1.0,255.4
M18,62ch,21,1,1,0.5182,0.5107,0.5175,0.5105,0.9964,185.4
M18,62ch,21,2,2,0.4507,0.4446,0.4503,0.4441,0.9957,174.7
M18,62ch,21,3,3,0.4088,0.3939,0.4076,0.3926,1.0,197.4
M18,62ch,21,4,4,0.4886,0.4806,0.4905,0.4823,1.0,316.0
M18,62ch,21,5,5,0.3218,0.3032,0.3231,0.3049,1.0,286.0
M18,62ch,21,6,6,0.3756,0.3656,0.3755,0.3657,1.0,252.2
M18,62ch,21,7,7,0.5964,0.5846,0.6044,0.5929,0.9992,142.6
M18,62ch,21,8,8,0.3397,0.3257,0.3425,0.3296,0.9979,260.1
M18,62ch,21,9,9,0.4435,0.4026,0.4447,0.4035,1.0,301.0
M18,62ch,21,10,10,0.4523,0.4523,0.4503,0.4507,0.9993,285.2
M18,62ch,21,11,11,0.4228,0.4106,0.4225,0.4105,0.9987,255.2
M18,62ch,21,12,12,0.4407,0.4389,0.439,0.4374,0.997,350.7
M18,62ch,21,13,13,0.3852,0.3783,0.3887,0.3818,0.9987,289.0
M18,62ch,21,14,14,0.4599,0.4649,0.4604,0.4649,1.0,225.4
M18,62ch,21,15,15,0.4643,0.4524,0.462,0.4498,1.0,266.0
