model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M18,6ch,1,1,1,0.4283,0.4186,0.4302,0.4214,1.0,198.1
M18,6ch,1,2,2,0.3693,0.3668,0.3924,0.3914,1.0,293.2
M18,6ch,1,3,3,0.3246,0.3242,0.326,0.3257,1.0,250.5
M18,6ch,1,4,4,0.4687,0.4566,0.4849,0.4761,1.0,205.7
M18,6ch,1,5,5,0.3717,0.3527,0.3851,0.3656,1.0,179.4
M18,6ch,1,6,6,0.2559,0.2393,0.2757,0.2625,1.0,232.4
M18,6ch,1,7,7,0.3421,0.3248,0.3449,0.3304,1.0,179.5
M18,6ch,1,8,8,0.3964,0.3676,0.4076,0.3778,1.0,176.6
M18,6ch,1,9,9,0.382,0.3665,0.4016,0.3873,1.0,151.2
M18,6ch,1,10,10,0.2902,0.2819,0.2777,0.272,1.0,187.6
M18,6ch,1,11,11,0.4575,0.44,0.472,0.4543,1.0,168.6
M18,6ch,1,12,12,0.4359,0.4259,0.4366,0.428,1.0,172.2
M18,6ch,1,13,13,0.3764,0.3727,0.3839,0.3792,1.0,181.1
M18,6ch,1,14,14,0.281,0.2749,0.2845,0.2781,0.9996,130.5
M18,6ch,1,15,15,0.4938,0.5009,0.5167,0.5235,1.0,187.1
M18,6ch,7,1,1,0.4104,0.4046,0.4149,0.4096,1.0,154.7
M18,6ch,7,2,2,0.4439,0.4331,0.4543,0.4459,1.0,179.8
M18,6ch,7,3,3,0.3597,0.3605,0.3634,0.3598,1.0,188.3
M18,6ch,7,4,4,0.5002,0.4857,0.507,0.494,0.9991,168.4
M18,6ch,7,5,5,0.3792,0.377,0.3875,0.3852,1.0,168.5
M18,6ch,7,6,6,0.3621,0.3622,0.3702,0.37,1.0,169.4
M18,6ch,7,7,7,0.4603,0.459,0.4696,0.4696,1.0,180.9
M18,6ch,7,8,8,0.4251,0.4181,0.4266,0.4184,1.0,141.5
M18,6ch,7,9,9,0.4994,0.4768,0.499,0.4778,1.0,157.4
M18,6ch,7,10,10,0.3665,0.3458,0.3767,0.3559,1.0,194.1
M18,6ch,7,11,11,0.3677,0.3605,0.3682,0.3586,1.0,166.3
M18,6ch,7,12,12,0.3677,0.371,0.3742,0.3768,1.0,202.2
M18,6ch,7,13,13,0.3469,0.3333,0.3421,0.3286,1.0,176.4
M18,6ch,7,14,14,0.3613,0.3495,0.3819,0.3743,0.9996,119.1
M18,6ch,7,15,15,0.4128,0.4106,0.4129,0.4108,1.0,169.6
M18,6ch,21,1,1,0.4379,0.4275,0.4354,0.4255,1.0,177.7
M18,6ch,21,2,2,0.4032,0.4035,0.4145,0.4165,1.0,168.1
M18,6ch,21,3,3,0.382,0.3844,0.3851,0.3871,1.0,150.5
M18,6ch,21,4,4,0.4926,0.4889,0.5002,0.4964,0.9998,160.8
M18,6ch,21,5,5,0.3138,0.2957,0.3352,0.3204,1.0,135.4
M18,6ch,21,6,6,0.3194,0.3182,0.3223,0.3242,1.0,150.1
M18,6ch,21,7,7,0.4196,0.4192,0.4221,0.4221,1.0,186.1
M18,6ch,21,8,8,0.38,0.387,0.398,0.4052,1.0,142.8
M18,6ch,21,9,9,0.4842,0.4766,0.4797,0.4737,1.0,176.8
M18,6ch,21,10,10,0.3848,0.364,0.3859,0.3679,1.0,173.7
M18,6ch,21,11,11,0.4599,0.4605,0.4612,0.4611,1.0,165.2
M18,6ch,21,12,12,0.3162,0.3154,0.3062,0.3062,1.0,138.7
M18,6ch,21,13,13,0.4319,0.429,0.4322,0.4294,1.0,194.9
M18,6ch,21,14,14,0.2842,0.2759,0.3078,0.3024,1.0,163.1
M18,6ch,21,15,15,0.3385,0.3198,0.3421,0.3241,1.0,202.2
