model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M12,62ch,1,1,1,0.42,0.4272,0.4841,0.4891,1.0,32.1
M12,62ch,1,2,2,0.5557,0.5713,0.5722,0.5832,1.0,29.5
M12,62ch,1,3,3,0.4495,0.4386,0.4386,0.4385,1.0,38.0
M12,62ch,1,4,4,0.5513,0.5361,0.5272,0.5157,1.0,27.3
M12,62ch,1,5,5,0.4415,0.4121,0.4825,0.474,1.0,29.7
M12,62ch,1,6,6,0.4343,0.4309,0.4753,0.4714,1.0,38.0
M12,62ch,1,7,7,0.7194,0.714,0.7316,0.7211,1.0,38.9
M12,62ch,1,8,8,0.3265,0.3239,0.4161,0.4213,1.0,37.7
M12,62ch,1,9,9,0.3605,0.3649,0.3634,0.3663,1.0,35.6
M12,62ch,1,10,10,0.5174,0.5164,0.4825,0.4753,1.0,35.2
M12,62ch,1,11,11,0.2595,0.2606,0.2571,0.2572,1.0,38.1
M12,62ch,1,12,12,0.5956,0.5955,0.5915,0.59,1.0,36.5
M12,62ch,1,13,13,0.479,0.4803,0.4901,0.4846,1.0,27.0
M12,62ch,1,14,14,0.523,0.5239,0.5127,0.5093,1.0,39.7
M12,62ch,1,15,15,0.5034,0.5042,0.5247,0.5241,1.0,31.9
M12,62ch,7,1,1,0.3988,0.4032,0.4254,0.4342,1.0,27.4
M12,62ch,7,2,2,0.5605,0.5648,0.5408,0.5398,1.0,41.2
M12,62ch,7,3,3,0.376,0.3778,0.4342,0.4393,1.0,37.5
M12,62ch,7,4,4,0.5968,0.5821,0.6241,0.6094,1.0,32.3
M12,62ch,7,5,5,0.4639,0.4297,0.4724,0.4365,1.0,25.1
M12,62ch,7,6,6,0.4575,0.4574,0.4869,0.4823,1.0,34.7
M12,62ch,7,7,7,0.7122,0.7083,0.668,0.6643,1.0,29.5
M12,62ch,7,8,8,0.303,0.2996,0.3759,0.3788,1.0,31.1
M12,62ch,7,9,9,0.39,0.3986,0.3839,0.3925,1.0,37.4
M12,62ch,7,10,10,0.5054,0.5046,0.5268,0.5235,1.0,38.5
M12,62ch,7,11,11,0.2846,0.2785,0.3437,0.3369,1.0,34.6
M12,62ch,7,12,12,0.6491,0.6423,0.6406,0.6344,1.0,33.2
M12,62ch,7,13,13,0.5058,0.5063,0.4909,0.5009,1.0,34.4
M12,62ch,7,14,14,0.4798,0.4745,0.4986,0.492,1.0,38.4
M12,62ch,7,15,15,0.5733,0.579,0.5936,0.5875,1.0,29.2
M12,62ch,21,1,1,0.4064,0.4115,0.4044,0.4065,1.0,36.3
M12,62ch,21,2,2,0.4946,0.5088,0.5557,0.568,1.0,34.6
M12,62ch,21,3,3,0.424,0.4283,0.501,0.4965,1.0,36.6
M12,62ch,21,4,4,0.5441,0.5298,0.5646,0.555,1.0,32.3
M12,62ch,21,5,5,0.3992,0.3636,0.4551,0.4129,1.0,33.2
M12,62ch,21,6,6,0.4651,0.4608,0.3376,0.3359,1.0,28.3
M12,62ch,21,7,7,0.7114,0.7024,0.7111,0.7097,1.0,27.7
M12,62ch,21,8,8,0.4048,0.4045,0.4056,0.4014,1.0,29.7
M12,62ch,21,9,9,0.3932,0.4011,0.4052,0.4128,1.0,36.9
M12,62ch,21,10,10,0.523,0.5217,0.5002,0.4978,1.0,38.3
M12,62ch,21,11,11,0.293,0.2941,0.3159,0.305,1.0,38.1
M12,62ch,21,12,12,0.5828,0.5805,0.6133,0.6069,1.0,41.5
M12,62ch,21,13,13,0.4906,0.4989,0.5167,0.5072,1.0,33.9
M12,62ch,21,14,14,0.4491,0.445,0.4274,0.4284,1.0,36.1
M12,62ch,21,15,15,0.5685,0.5741,0.5771,0.5782,1.0,36.7
