model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M17,62ch,1,1,1,0.2934,0.2911,0.3252,0.321,1.0,97.6
M17,62ch,1,2,2,0.4607,0.4496,0.4825,0.4802,1.0,110.5
M17,62ch,1,3,3,0.323,0.2996,0.3203,0.2999,1.0,135.2
M17,62ch,1,4,4,0.6411,0.6404,0.6435,0.6391,1.0,102.7
M17,62ch,1,5,5,0.3202,0.2939,0.3433,0.3479,1.0,96.6
M17,62ch,1,6,6,0.3653,0.367,0.3924,0.3956,1.0,115.7
M17,62ch,1,7,7,0.6743,0.6714,0.664,0.6586,1.0,101.0
M17,62ch,1,8,8,0.4651,0.47,0.4459,0.4491,1.0,127.5
M17,62ch,1,9,9,0.309,0.309,0.3461,0.3379,1.0,115.6
M17,62ch,1,10,10,0.5729,0.5684,0.5779,0.5737,1.0,93.9
M17,62ch,1,11,11,0.2371,0.2229,0.2443,0.2287,1.0,127.8
M17,62ch,1,12,12,0.4427,0.4321,0.4656,0.457,1.0,97.5
M17,62ch,1,13,13,0.4387,0.4468,0.46,0.4611,1.0,101.8
M17,62ch,1,14,14,0.5916,0.5883,0.5956,0.5899,1.0,106.6
M17,62ch,1,15,15,0.6946,0.6911,0.701,0.6976,1.0,86.7
M17,62ch,7,1,1,0.4347,0.4407,0.4849,0.4953,1.0,77.4
M17,62ch,7,2,2,0.42,0.4104,0.4133,0.3982,1.0,86.2
M17,62ch,7,3,3,0.3158,0.3193,0.4113,0.4086,1.0,95.0
M17,62ch,7,4,4,0.5912,0.5941,0.5803,0.5778,1.0,99.8
M17,62ch,7,5,5,0.3848,0.3619,0.3521,0.337,1.0,74.7
M17,62ch,7,6,6,0.4766,0.4782,0.4897,0.4931,1.0,86.4
M17,62ch,7,7,7,0.6168,0.6215,0.6326,0.6344,1.0,87.4
M17,62ch,7,8,8,0.3992,0.3949,0.4052,0.4023,1.0,87.4
M17,62ch,7,9,9,0.3222,0.3157,0.3256,0.3184,1.0,106.3
M17,62ch,7,10,10,0.517,0.5079,0.5082,0.5101,1.0,83.3
M17,62ch,7,11,11,0.2347,0.2036,0.2366,0.2141,1.0,87.3
M17,62ch,7,12,12,0.4998,0.4974,0.4897,0.4873,1.0,116.1
M17,62ch,7,13,13,0.5066,0.513,0.4853,0.4915,1.0,90.9
M17,62ch,7,14,14,0.5202,0.5209,0.5243,0.521,1.0,87.0
M17,62ch,7,15,15,0.5948,0.6043,0.5839,0.5936,1.0,99.3
M17,62ch,21,1,1,0.3752,0.3797,0.365,0.3666,1.0,88.8
M17,62ch,21,2,2,0.42,0.4009,0.4197,0.4073,1.0,112.9
M17,62ch,21,3,3,0.2922,0.2821,0.3473,0.3438,1.0,112.0
M17,62ch,21,4,4,0.5669,0.5578,0.5445,0.5395,1.0,108.5
M17,62ch,21,5,5,0.4395,0.4084,0.4419,0.4201,1.0,84.2
M17,62ch,21,6,6,0.4172,0.4076,0.4266,0.426,1.0,94.5
M17,62ch,21,7,7,0.618,0.6119,0.6097,0.6028,1.0,85.8
M17,62ch,21,8,8,0.3968,0.3936,0.4056,0.4125,1.0,92.4
M17,62ch,21,9,9,0.3808,0.3611,0.3859,0.3644,1.0,87.6
M17,62ch,21,10,10,0.5996,0.5917,0.5618,0.5541,1.0,93.6
M17,62ch,21,11,11,0.2639,0.2615,0.2628,0.2605,1.0,82.6
M17,62ch,21,12,12,0.4363,0.4251,0.4278,0.4076,1.0,103.9
M17,62ch,21,13,13,0.4475,0.4543,0.4789,0.4767,1.0,96.4
M17,62ch,21,14,14,0.4882,0.4758,0.4897,0.4781,1.0,89.5
M17,62ch,21,15,15,0.5697,0.565,0.5763,0.5698,1.0,86.7
