model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M16,62ch,1,1,1,0.4822,0.4822,0.4817,0.4816,1.0,125.9
M16,62ch,1,2,2,0.4371,0.4203,0.4378,0.4216,1.0,133.7
M16,62ch,1,3,3,0.2846,0.2823,0.2922,0.2907,1.0,99.3
M16,62ch,1,4,4,0.4367,0.4393,0.4366,0.4394,1.0,137.9
M16,62ch,1,5,5,0.3796,0.3753,0.3895,0.3843,1.0,93.6
M16,62ch,1,6,6,0.3517,0.3331,0.3517,0.3327,1.0,128.0
M16,62ch,1,7,7,0.5545,0.5555,0.5561,0.5573,1.0,112.9
M16,62ch,1,8,8,0.4299,0.4202,0.4274,0.417,1.0,121.7
M16,62ch,1,9,9,0.4758,0.4724,0.4885,0.4845,1.0,121.5
M16,62ch,1,10,10,0.4315,0.42,0.4322,0.4216,1.0,123.1
M16,62ch,1,11,11,0.3445,0.3231,0.3481,0.3298,1.0,138.4
M16,62ch,1,12,12,0.3904,0.3859,0.3895,0.3847,1.0,156.5
M16,62ch,1,13,13,0.3693,0.3456,0.3682,0.3444,1.0,130.9
M16,62ch,1,14,14,0.4575,0.453,0.4596,0.4552,1.0,128.7
M16,62ch,1,15,15,0.3872,0.3894,0.3887,0.3912,1.0,96.5
M16,62ch,7,1,1,0.4255,0.4144,0.4266,0.416,1.0,162.6
M16,62ch,7,2,2,0.4766,0.4681,0.4946,0.4868,0.9994,92.1
M16,62ch,7,3,3,0.321,0.3084,0.3215,0.309,1.0,102.5
M16,62ch,7,4,4,0.5385,0.5159,0.5396,0.5174,1.0,144.5
M16,62ch,7,5,5,0.3214,0.2855,0.3296,0.2971,1.0,118.3
M16,62ch,7,6,6,0.3174,0.3016,0.3179,0.3022,1.0,186.2
M16,62ch,7,7,7,0.5529,0.5374,0.5561,0.5406,1.0,124.9
M16,62ch,7,8,8,0.4291,0.4294,0.4342,0.4338,1.0,102.7
M16,62ch,7,9,9,0.2982,0.2855,0.2986,0.2859,1.0,140.9
M16,62ch,7,10,10,0.4727,0.4612,0.4728,0.4617,1.0,128.1
M16,62ch,7,11,11,0.38,0.3477,0.3771,0.3453,1.0,127.6
M16,62ch,7,12,12,0.3764,0.3726,0.3742,0.37,1.0,128.4
M16,62ch,7,13,13,0.3214,0.3169,0.3256,0.3199,1.0,140.5
M16,62ch,7,14,14,0.4224,0.4189,0.427,0.4241,1.0,166.8
M16,62ch,7,15,15,0.3437,0.3509,0.3481,0.3555,1.0,124.5
M16,62ch,21,1,1,0.4683,0.4588,0.4656,0.4563,1.0,118.4
M16,62ch,21,2,2,0.4639,0.4602,0.4664,0.4627,1.0,163.6
M16,62ch,21,3,3,0.2144,0.1977,0.2169,0.2015,1.0,134.7
M16,62ch,21,4,4,0.479,0.4563,0.4825,0.4596,1.0,144.2
M16,62ch,21,5,5,0.3473,0.316,0.3533,0.3211,1.0,90.0
M16,62ch,21,6,6,0.3222,0.2821,0.3223,0.2818,1.0,141.4
M16,62ch,21,7,7,0.5505,0.5451,0.5517,0.5469,1.0,102.5
M16,62ch,21,8,8,0.5006,0.4876,0.499,0.486,1.0,134.6
M16,62ch,21,9,9,0.2703,0.2537,0.2644,0.2468,1.0,134.9
M16,62ch,21,10,10,0.4487,0.4445,0.4487,0.4438,1.0,122.2
M16,62ch,21,11,11,0.3593,0.349,0.3606,0.3499,1.0,106.0
M16,62ch,21,12,12,0.3796,0.3665,0.3815,0.3691,1.0,135.0
M16,62ch,21,13,13,0.384,0.3541,0.3851,0.3552,1.0,124.5
M16,62ch,21,14,14,0.3804,0.3844,0.3795,0.3832,1.0,118.1
M16,62ch,21,15,15,0.4335,0.412,0.4366,0.417,0.9988,116.0
