variant,model,acc_a,Balanced accuracy (AccB),ref_acc_b,delta_vs_ref_b
E00,Teacher,0.4436460412508317,0.6170275722932079,0.5913,0.0257275722932078
H17,Teacher,0.4576180971390552,0.6079623402824479,0.5913,0.0166623402824478
E00,Student,0.3865602129075183,0.5406321452589105,0.6918,-0.1511678547410895
H17,Student,0.3964071856287425,0.5443981170141223,0.6918,-0.1474018829858776
