ablation,acc_A_mean,acc_A_std,f1_A_mean,f1_A_std,acc_B_mean,acc_B_std,f1_B_mean,f1_B_std
A06,0.354047460634287,0.0126058493692677,0.3469401339583324,0.0072888720863434,0.5340487368656383,0.0237683335843897,0.5306885495572384,0.0243740254811419
A10,0.3932135728542913,0.0146476707391982,0.3737294751887821,0.0129460618759009,0.530739995528728,0.0332966298023659,0.524944478229164,0.034304946988388
A04,0.3615879352406299,0.0063011686202541,0.3541789040131082,0.0040076063780728,0.5295774647887325,0.0383888328511513,0.5289541021282429,0.0368842146680654
A13,0.3615879352406299,0.0063011686202541,0.3541789040131082,0.0040076063780728,0.5295774647887325,0.0383888328511513,0.5289541021282429,0.0368842146680654
A08,0.3615879352406299,0.0063011686202541,0.3541789040131082,0.0040076063780728,0.5295774647887325,0.0383888328511513,0.5289541021282429,0.0368842146680654
A07,0.3615879352406299,0.0063011686202541,0.3541789040131082,0.0040076063780728,0.5295774647887325,0.0383888328511513,0.5289541021282429,0.0368842146680654
A01,0.3923264581947217,0.0360377159968837,0.3800872442510988,0.0352724703117803,0.5274312541918175,0.023233411234995,0.5232193858461233,0.029800178772261
A12,0.375338212463961,0.0165310668916249,0.36793037644712,0.0232866619990668,0.5254191817572099,0.0257946674672515,0.525319516957634,0.0248553131461359
A16,0.396096695497893,0.0387329184169444,0.3769229765720791,0.0267361771541885,0.5242119382964453,0.0150048989315144,0.5164209963759675,0.0239740661880239
A11,0.3483699268130406,0.0027785246863368,0.3394802465402987,0.0034588925940583,0.5227364185110664,0.0421622938615808,0.5203929531880023,0.0422863809990811
A05,0.3723663783544023,0.0036716260078198,0.3631238119201015,0.0044614656712939,0.5175050301810865,0.011479593773486,0.5102622796313584,0.0147173177460881
