output,source,role,status
table_5_1,classical_ml_summary.csv,primary,True
table_5_2,M11-M24 per-model CSVs + master,primary+audit,True
table_5_3,M25_62ch + M26_6ch summaries,primary,True
table_5_3b,phaseB_reproduce_results.csv,primary,True
table_5_4,ablations_partial_summary.csv,primary,True
table_5_5,derived from table_5_2 + table_5_3,derived,True
table_5_6,derived from paired 62ch/6ch,derived,True
table_5_7,classical_summary + optional deep,partial,True
