model_id,name,ch,n_runs,acc_a_mean,acc_a_std,f1_a_mean,f1_a_std,acc_b_mean,acc_b_std,f1_b_mean,f1_b_std,mean_best_val_f1,mean_elapsed
DANCE Teacher,DANCE Teacher,62ch,45,0.4192577777777779,0.0934343680414928,0.40768,0.0943143043233633,0.5189577777777777,0.0913773830404063,0.5026311111111113,0.09726011006626,0.5865933333333334,2009.92
DANCE Student,DANCE Student,6ch,45,0.3900911111111111,0.0740197081318157,0.3774933333333333,0.0745171133486676,0.5706111111111112,0.0872849206549297,0.541171111111111,0.100933037257882,0.7102022222222222,264.011111111111
