acc_a,f1_a,acc_b,f1_b,seed,fold,test_subj,elapsed
0.22494969818913482,0.1670648402673484,0.22977867203219315,0.21058701590558665,21,8,9,472.7348368167877
0.3323943661971831,0.27730777472348683,0.289738430583501,0.2083788401310045,21,4,5,470.97426199913025
0.2981891348088531,0.26751441869089493,0.31348088531187124,0.29456403772185297,1,12,13,451.1004059314728
0.24627766599597586,0.17002182793371326,0.27605633802816903,0.26680650767038483,7,7,8,461.7588679790497
0.30704225352112674,0.24211457714783816,0.3207243460764588,0.2389996056759232,21,11,12,464.37548303604126
0.2398390342052314,0.21652664342285077,0.2579476861167002,0.20038108135403723,1,1,2,456.6995735168457
0.3734406438631791,0.32645128094391507,0.37142857142857144,0.33338926648157763,1,6,7,442.74135279655457
0.1613682092555332,0.10887721269544079,0.12515090543259558,0.10715241818132949,7,13,14,461.84822130203247
0.317907444668008,0.22541972085024276,0.3408450704225352,0.25326759201844656,21,1,2,466.9614279270172
0.24788732394366197,0.2152835996569024,0.25835010060362174,0.24411005961227134,1,3,4,449.94018030166626
0.2607645875251509,0.27593965125427855,0.36619718309859156,0.3200768532753214,21,7,8,466.44996333122253
0.24949698189134809,0.22148386935269487,0.22615694164989938,0.1867525566329823,1,8,9,447.3862044811249
0.16659959758551307,0.1317725569239053,0.11227364185110664,0.10379529664396786,7,8,9,461.1025981903076
0.24466800804828973,0.15630244155349726,0.20925553319919518,0.15448041119295744,7,2,3,443.4157135486603
0.2869215291750503,0.2135351753944006,0.30503018108651914,0.2864817341197808,7,10,11,466.84833669662476
0.3319919517102616,0.3150590982118405,0.3114688128772636,0.2839802694108548,7,4,5,470.13301157951355
0.282897384305835,0.24515448068010592,0.2515090543259557,0.2013531222943101,21,3,4,468.6962785720825
0.28088531187122734,0.1551742323727468,0.22414486921529175,0.13493106540923966,7,5,6,467.92517352104187
0.27243460764587524,0.19539621991321499,0.3207243460764588,0.25453650023643365,1,4,5,446.9447455406189
0.23541247484909456,0.13593228823037254,0.32474849094567404,0.2699310229121551,7,6,7,466.2237083911896
0.2108651911468813,0.12153157645637688,0.24386317907444668,0.14275724030942843,7,11,12,466.06982231140137
0.41730382293762575,0.39088172939211907,0.47243460764587525,0.4097672974628592,1,14,15,453.6125328540802
0.2917505030181087,0.24997474573447637,0.30181086519114686,0.20517432210427813,1,13,14,454.5942757129669
0.34285714285714286,0.2816272654604133,0.31348088531187124,0.2232711170798271,1,0,1,453.9412920475006
0.26720321931589536,0.1476794861992507,0.18430583501006037,0.17705950306805915,1,5,6,444.5223546028137
0.2796780684104628,0.16874887745995887,0.27243460764587524,0.19942121888733122,7,3,4,465.052964925766
0.2358148893360161,0.24695712233924363,0.35090543259557344,0.24854052580559283,21,13,14,464.395126581192
0.3030181086519115,0.17605703762573544,0.2631790744466801,0.18616992386356537,7,9,10,464.520405292511
0.2704225352112676,0.10643015521064302,0.3187122736418511,0.2456101463493548,21,0,1,468.4948434829712
0.15653923541247486,0.10711416253348491,0.2164989939637827,0.19785542381369642,1,7,8,442.4035358428955
0.25875251509054326,0.2278649037233232,0.21327967806841047,0.20940273748358515,21,12,13,459.08277797698975
0.3517102615694165,0.29031778252517326,0.2953722334004024,0.20045158360383675,7,12,13,465.8726508617401
0.19436619718309858,0.1297955648898586,0.19436619718309858,0.1297955648898586,21,2,3,466.7871091365814
0.22696177062374245,0.14898279011400578,0.2647887323943662,0.1817049749184433,21,9,10,462.8701756000519
0.18993963782696177,0.11951663870330687,0.1790744466800805,0.11632054590091791,21,5,6,472.1282379627228
0.27243460764587524,0.20456512044589215,0.2885311871227364,0.21766476039330823,1,11,12,455.5276312828064
0.2579476861167002,0.14280359921520872,0.2768611670020121,0.22087002765926395,1,10,11,453.6161403656006
0.22736418511066397,0.1788237453280192,0.3557344064386318,0.3151109601696568,7,1,2,447.30248641967773
0.2865191146881288,0.1804605196185522,0.35372233400402414,0.371029623755889,21,14,15,471.23856472969055
0.27283702213279676,0.1071767309516282,0.2442655935613682,0.15162774684150648,1,2,3,454.96963691711426
0.3263581488933602,0.23269725236517147,0.3561368209255533,0.3381133484404564,1,9,10,441.78262853622437
0.2712273641851107,0.10667932890155113,0.26156941649899396,0.13962705116672042,7,14,15,465.71521258354187
0.3818913480885312,0.3385080970886905,0.3754527162977867,0.27478411353034216,21,6,7,481.2971775531769
0.27887323943661974,0.14516978450018694,0.26841046277666,0.15235915147371876,21,10,11,465.8967037200928
0.2712273641851107,0.10667932890155113,0.19678068410462776,0.08402061855670104,7,0,1,446.9150040149689
