acc_a,f1_a,acc_b,f1_b,seed,fold,test_subj,elapsed
0.28088531187122734,0.1542506043513296,0.2511066398390342,0.15258000673387484,7,5,6,2286.264741420746
0.32193158953722334,0.2526370009611297,0.303420523138833,0.2270587361020915,1,0,1,2328.7231464385986
0.2704225352112676,0.10643015521064302,0.2704225352112676,0.10643015521064302,21,8,9,2282.630917787552
0.3002012072434608,0.2761349646864839,0.3066398390342052,0.26620928587217624,21,7,8,2385.576305627823
0.3553319919517103,0.2902014026371455,0.3525150905432596,0.26202504925415143,21,13,14,2393.7640051841736
0.36257545271629776,0.3375399389590945,0.37746478873239436,0.3570368680689059,7,4,5,2284.7244193553925
0.2921529175050302,0.22541461505761395,0.25271629778672033,0.1868243491286687,21,4,5,2693.941077709198
0.2712273641851107,0.10667932890155113,0.2712273641851107,0.10667932890155113,7,8,9,2311.9268987178802
0.2712273641851107,0.10667932890155113,0.25311871227364185,0.16421142829421742,7,0,1,2320.0297286510468
0.2784708249496982,0.27156343834942687,0.2949698189134809,0.22085891680026834,7,3,4,2286.5071935653687
0.30422535211267604,0.2903390287718144,0.2655935613682093,0.2339808943539763,1,8,9,2638.0175516605377
0.2704225352112676,0.10643015521064302,0.2704225352112676,0.10643015521064302,21,12,13,2286.7999153137207
0.23621730382293762,0.17793943815795338,0.24346076458752516,0.15721789331547825,21,2,3,2798.7907361984253
0.2551307847082495,0.25575083371836266,0.2108651911468813,0.19983345537608932,7,10,11,2664.388233423233
0.206841046277666,0.12077816037269608,0.3255533199195171,0.24096523505360046,7,9,10,2302.041790485382
0.28490945674044266,0.26281135575704967,0.2712273641851107,0.2267665390712828,21,3,4,2695.5115864276886
0.2704225352112676,0.10643015521064302,0.2704225352112676,0.10643015521064302,21,14,15,2274.6406903266907
0.22293762575452716,0.1831888120833346,0.19476861167002013,0.1301682353694455,1,2,3,2510.361119747162
0.42092555331991954,0.34848344997258623,0.45513078470824947,0.39343195938059405,1,14,15,2610.268490791321
0.33601609657947684,0.31984549691739445,0.36498993963782694,0.3504884897269119,1,3,4,2504.376992702484
0.29698189134808856,0.2463809622330016,0.2893360160965795,0.23481443214187048,1,4,5,2472.239189386368
0.2716297786720322,0.10680379746835443,0.2716297786720322,0.10680379746835443,1,5,6,2277.713613986969
0.2712273641851107,0.10667932890155113,0.16700201207243462,0.13308150829304133,7,14,15,2299.6659240722656
0.2716297786720322,0.10680379746835443,0.2716297786720322,0.10680379746835443,1,7,8,2275.37775182724
0.2716297786720322,0.10680379746835443,0.2716297786720322,0.10680379746835443,1,9,10,2258.415200471878
0.3492957746478873,0.2517354943639125,0.30784708249496984,0.23640917014638596,1,13,14,2516.240604877472
0.2712273641851107,0.10667932890155113,0.2712273641851107,0.10667932890155113,7,13,14,2288.6163861751556
0.2599597585513079,0.2007015673111326,0.2543259557344064,0.1995281446700075,21,5,6,2308.553409099579
0.2716297786720322,0.10680379746835443,0.2716297786720322,0.10680379746835443,1,6,7,2281.607123851776
0.4056338028169014,0.39943005819608707,0.3203219315895372,0.2982943701781603,7,1,2,2706.829248189926
0.4390342052313883,0.429621614500975,0.4140845070422535,0.4110309351160773,21,1,2,2799.9137876033783
0.2712273641851107,0.10667932890155113,0.2712273641851107,0.10667932890155113,7,7,8,2320.8213036060333
0.2941649899396378,0.24440310380455466,0.2953722334004024,0.24276689086594055,21,11,12,2386.5178604125977
0.310261569416499,0.30487368881360677,0.3734406438631791,0.35989105176785485,7,6,7,2408.9465324878693
0.2704225352112676,0.11081794195250659,0.26116700201207244,0.10856473737035797,21,10,11,2291.267714738846
0.337625754527163,0.23145287392801367,0.310261569416499,0.24714953603930623,1,1,2,2423.4393317699432
0.3263581488933602,0.2545278653869426,0.28169014084507044,0.2106357590430793,1,10,11,2277.520114183426
0.2712273641851107,0.10667932890155113,0.2712273641851107,0.10667932890155113,7,2,3,2290.630835533142
0.2688128772635815,0.209562643069036,0.29295774647887324,0.21867150476840946,1,12,13,2287.124039173126
0.2720321931589537,0.1959505543139517,0.2841046277665996,0.20180025983962413,21,0,1,2317.3051841259003
0.3122736418511066,0.22547844135850198,0.32233400402414486,0.2217405858154804,7,12,13,2583.5305593013763
0.31670020120724346,0.26624064500888694,0.2881287726358149,0.24999344685314082,1,11,12,2378.3271980285645
0.39396378269617705,0.32351408769265905,0.3847082494969819,0.30920840596073307,7,11,12,2676.255018234253
0.39235412474849096,0.29591363537668386,0.38873239436619716,0.2832561934089378,21,6,7,2579.860211610794
0.3810865191146881,0.3816172077641379,0.32756539235412474,0.28477081014772054,21,9,10,2382.4152643680573
