ablation,acc_A_mean,acc_A_std,f1_A_mean,f1_A_std,acc_B_mean,acc_B_std,f1_B_mean,f1_B_std
A06,0.354047460634287,0.012605849369267747,0.34694013395833245,0.007288872086343426,0.5340487368656383,0.023768333584389758,0.5306885495572384,0.0243740254811419
A10,0.39321357285429137,0.014647670739198272,0.37372947518878213,0.012946061875900937,0.530739995528728,0.03329662980236595,0.524944478229164,0.03430494698838809
A04,0.3615879352406299,0.0063011686202541824,0.3541789040131082,0.004007606378072831,0.5295774647887325,0.03838883285115133,0.5289541021282429,0.03688421466806543
A13,0.3615879352406299,0.0063011686202541824,0.3541789040131082,0.004007606378072831,0.5295774647887325,0.03838883285115133,0.5289541021282429,0.03688421466806543
A08,0.3615879352406299,0.0063011686202541824,0.3541789040131082,0.004007606378072831,0.5295774647887325,0.03838883285115133,0.5289541021282429,0.03688421466806543
A07,0.3615879352406299,0.0063011686202541824,0.3541789040131082,0.004007606378072831,0.5295774647887325,0.03838883285115133,0.5289541021282429,0.03688421466806543
A01,0.3923264581947217,0.03603771599688375,0.3800872442510988,0.035272470311780345,0.5274312541918175,0.023233411234995033,0.5232193858461233,0.02980017877226108
A12,0.375338212463961,0.01653106689162493,0.36793037644712,0.02328666199906683,0.5254191817572099,0.025794667467251568,0.525319516957634,0.024855313146135982
A16,0.39609669549789306,0.03873291841694443,0.3769229765720791,0.02673617715418857,0.5242119382964453,0.015004898931514445,0.5164209963759675,0.02397406618802399
A11,0.34836992681304063,0.0027785246863368126,0.3394802465402987,0.0034588925940583883,0.5227364185110664,0.04216229386158087,0.5203929531880023,0.04228638099908111
A05,0.3723663783544023,0.0036716260078198705,0.3631238119201015,0.004461465671293949,0.5175050301810865,0.011479593773486046,0.5102622796313584,0.014717317746088131
