ablation,seed,acc_A,f1_A,acc_B,f1_B
A01,1,0.37218895542248837,0.3595576462219801,0.5542588866532528,0.5571454340451589
A01,7,0.3708582834331337,0.3598881488089815,0.5140174379610999,0.5112381380418896
A01,21,0.4339321357285429,0.4208159377223347,0.5140174379610999,0.5012745854513214
A04,1,0.35808383233532937,0.350933528745236,0.5671361502347417,0.5662404999728943
A04,7,0.3688622754491018,0.35294474663732067,0.5311871227364185,0.5281361295300824
A04,21,0.35781769793745843,0.3586584366567679,0.4904091213950369,0.49248567688175193
A05,1,0.3737857618097139,0.3682752591606732,0.5226022803487592,0.5119956448163909
A05,7,0.3681969394544245,0.36058833046475797,0.5255533199195171,0.5240361580079721
A05,21,0.3751164337990685,0.36050784613487347,0.5043594902749833,0.49475503606971233
A06,1,0.35781769793745843,0.34803356545325,0.5081153588195841,0.5056784994965509
A06,7,0.3643379906852961,0.35362051734991407,0.5547954393024815,0.5543724012311428
A06,21,0.33998669328010644,0.3391663190718333,0.5392354124748491,0.5320147479440215
A07,1,0.35808383233532937,0.350933528745236,0.5671361502347417,0.5662404999728943
A07,7,0.3688622754491018,0.35294474663732067,0.5311871227364185,0.5281361295300824
A07,21,0.35781769793745843,0.3586584366567679,0.4904091213950369,0.49248567688175193
A08,1,0.35808383233532937,0.350933528745236,0.5671361502347417,0.5662404999728943
A08,7,0.3688622754491018,0.35294474663732067,0.5311871227364185,0.5281361295300824
A08,21,0.35781769793745843,0.3586584366567679,0.4904091213950369,0.49248567688175193
A10,1,0.39494344644045243,0.3769756707685094,0.5018108651911469,0.49467858509715856
A10,7,0.40691949434464403,0.3847435123110841,0.5671361502347417,0.5622091028284212
A10,21,0.37777777777777777,0.3594692424867529,0.5232729711602951,0.5179457467619124
A11,1,0.3515635395874917,0.3423768445285861,0.571160295103957,0.5688477962343311
A11,7,0.3465069860279441,0.33565051351433317,0.5028839704896043,0.5013841672160309
A11,21,0.34703925482368597,0.34041338157797674,0.4941649899396378,0.4909468961136448
A12,1,0.36513639387890884,0.35610256506873605,0.5551978537894031,0.5540054547222855
A12,7,0.3664670658682635,0.35293146822816446,0.5110663983903421,0.5101864072559694
A12,21,0.39441117764471056,0.39475709604445963,0.5099932930918847,0.5117666888946469
A13,1,0.35808383233532937,0.350933528745236,0.5671361502347417,0.5662404999728943
A13,7,0.3688622754491018,0.35294474663732067,0.5311871227364185,0.5281361295300824
A13,21,0.35781769793745843,0.3586584366567679,0.4904091213950369,0.49248567688175193
A16,1,0.3797737857618097,0.3684846888685318,0.541381623071764,0.5427138402345726
A16,7,0.3681969394544245,0.3554240403187151,0.5136150234741784,0.5107759490512299
A16,21,0.4403193612774451,0.4068602005289904,0.5176391683433937,0.4957731998420998
